Plateforme,Asset,Quote,Datetime
Deribit,eth_usd,327.98,1600941951.271
Deribit,btc_usd,10326.37,1600941951.872
Deribit,btc_usd,10326.26,1600941955.9
Deribit,eth_usd,327.95,1600941956.307
Deribit,btc_usd,10326.2,1600941956.907
Deribit,eth_usd,327.96,1600941957.313
Deribit,eth_usd,327.99,1600941958.32
Deribit,eth_usd,328.0,1600941960.334
Deribit,eth_usd,327.98,1600941961.341
Deribit,btc_usd,10326.24,1600941961.942
Deribit,eth_usd,327.99,1600941962.349
Deribit,btc_usd,10326.25,1600941962.949
Deribit,eth_usd,327.98,1600941964.362
Deribit,btc_usd,10326.2,1600941964.963
Deribit,eth_usd,327.96,1600941965.37
Deribit,btc_usd,10326.32,1600941965.97
Deribit,eth_usd,327.95,1600941967.383
Deribit,btc_usd,10326.33,1600941967.984
Deribit,eth_usd,327.98,1600941968.391
Deribit,btc_usd,10326.35,1600941968.991
Deribit,eth_usd,327.97,1600941969.398
Deribit,eth_usd,327.99,1600941970.404
Deribit,btc_usd,10326.27,1600941971.005
Deribit,btc_usd,10326.28,1600941972.012
Deribit,eth_usd,327.97,1600941972.418
Deribit,btc_usd,10326.21,1600941975.033
Deribit,eth_usd,327.96,1600941975.44
Deribit,btc_usd,10326.22,1600941977.047
Deribit,eth_usd,327.97,1600941977.454
Deribit,btc_usd,10326.23,1600941978.054
Deribit,eth_usd,327.99,1600941979.468
Deribit,btc_usd,10326.21,1600941980.068
Deribit,eth_usd,327.98,1600941980.476
Deribit,btc_usd,10326.19,1600941981.075
Deribit,btc_usd,10326.25,1600941984.096
Deribit,eth_usd,327.97,1600941984.503
Deribit,eth_usd,327.98,1600941987.525
Deribit,btc_usd,10326.17,1600941989.131
Deribit,eth_usd,327.99,1600941997.595
Deribit,btc_usd,10326.12,1600942002.222
Deribit,eth_usd,327.98,1600942006.658
Deribit,btc_usd,10326.05,1600942008.264
Deribit,eth_usd,328.0,1600942010.685
Deribit,btc_usd,10326.1,1600942011.285
Deribit,eth_usd,327.99,1600942011.693
Deribit,btc_usd,10325.91,1600942015.313
Deribit,eth_usd,327.98,1600942015.72
Deribit,btc_usd,10325.96,1600942018.334
Deribit,eth_usd,327.99,1600942018.743
Deribit,eth_usd,327.97,1600942019.75
Deribit,btc_usd,10325.97,1600942020.348
Deribit,btc_usd,10325.74,1600942024.376
Deribit,eth_usd,327.98,1600942024.787
Deribit,eth_usd,328.02,1600942027.807
